year,p_2017,p_2018,p_2019,n_2017,n_2018,n_2019,d_2017,d_2018,d_2019
0,4.2,4.55,4.32,"95,090","88,146","87,291",399,401,377
1,0.29,0.36,0.28,"108,888","102,220","94,647",32,37,27
2,0.16,0.23,0.23,"112,410","109,010","102,418",18,25,24
3,0.11,0.14,0.22,"110,720","112,362","109,031",12,16,24
4,0.13,0.11,0.11,"102,612","110,652","112,352",13,12,12
5,0.14,0.1,0.16,"122,946","102,621","110,652",17,10,18
6,0.15,0.12,0.1,"104,314","122,851","102,538",16,15,10
7,0.09,0.1,0.13,"88,178","104,229","122,720",8,10,16
8,0.1,0.11,0.1,"101,632","88,112","104,183",10,10,10
9,0.08,0.11,0.07,"104,081","101,598","88,111",8,11,6
10,0.15,0.13,0.1,"107,711","104,059","101,602",16,14,10
11,0.16,0.13,0.09,"108,141","107,678","104,051",17,14,9
12,0.13,0.18,0.06,"108,537","108,104","107,657",14,19,6
13,0.15,0.21,0.16,"114,611","108,496","108,079",17,23,17
14,0.24,0.25,0.14,"119,086","114,583","108,470",29,29,15
15,0.25,0.33,0.3,"128,699","119,092","114,601",32,39,34
16,0.35,0.34,0.34,"133,670","128,627","119,073",47,44,40
17,0.42,0.33,0.44,"159,409","133,533","128,522",67,44,57
18,0.56,0.58,0.74,"147,394","159,360","133,486",83,92,99
19,0.63,0.5,0.59,"138,696","147,349","159,323",87,74,94
20,0.54,0.55,0.68,"167,639","138,584","147,230",91,76,100
21,0.67,0.68,0.65,"166,828","167,497","138,448",112,114,90
22,0.54,0.61,0.6,"167,086","166,677","167,341",90,102,100
23,0.63,0.56,0.67,"166,519","166,921","166,556",105,93,112
24,0.59,0.56,0.53,"167,712","166,352","166,762",99,93,88
25,0.62,0.64,0.62,"165,619","167,510","166,192",103,107,103
26,0.64,0.61,0.54,"164,827","165,437","167,332",105,101,90
27,0.7,0.6,0.65,"172,967","164,652","165,281",121,99,107
28,0.64,0.74,0.61,"159,071","172,776","164,493",102,128,100
29,0.64,0.77,0.72,"174,335","158,884","172,601",112,122,124
30,0.92,0.78,0.72,"157,661","174,117","158,728",145,136,114
31,0.91,0.88,0.86,"152,303","157,449","173,938",139,139,150
32,0.99,0.92,0.91,"170,482","152,079","157,265",169,140,143
33,1.2,1.08,1.27,"183,769","170,243","151,877",221,184,193
34,1.27,1.21,1.08,"188,779","183,542","170,028",240,222,184
35,1.42,1.24,1.15,"198,771","188,513","183,346",282,234,211
36,1.59,1.48,1.39,"204,004","198,481","188,264",324,294,262
37,1.69,1.63,1.56,"200,607","203,847","198,350",339,332,309
38,2.08,1.83,1.71,"205,881","200,360","203,624",428,367,348
39,2.17,2.1,2.15,"199,812","205,492","200,003",434,432,430
40,2.31,2.38,2.33,"188,906","199,421","205,106",436,475,478
41,2.65,2.8,2.42,"205,803","188,413","198,960",545,528,481
42,2.92,2.65,2.93,"176,395","205,249","187,947",515,544,551
43,3.48,3.3,2.99,"173,469","175,841","204,654",604,580,612
44,3.76,3.33,3.44,"173,098","172,929","175,345",651,576,603
45,3.94,3.71,3.61,"171,655","172,455","172,277",676,640,622
46,3.98,4.15,4.06,"177,330","170,996","171,841",706,710,698
47,4.5,4.44,4.27,"182,083","176,565","170,317",819,784,727
