"year","t","p","n","d"
0,1,4.2,"95,090",399
0,2,4.55,"88,146",401
0,3,4.32,"87,291",377
1,1,0.29,"108,888",32
1,2,0.36,"102,220",37
1,3,0.28,"94,647",27
2,1,0.16,"112,410",18
2,2,0.23,"109,010",25
2,3,0.23,"102,418",24
3,1,0.11,"110,720",12
3,2,0.14,"112,362",16
3,3,0.22,"109,031",24
4,1,0.13,"102,612",13
4,2,0.11,"110,652",12
4,3,0.11,"112,352",12
5,1,0.14,"122,946",17
5,2,0.1,"102,621",10
5,3,0.16,"110,652",18
6,1,0.15,"104,314",16
6,2,0.12,"122,851",15
6,3,0.1,"102,538",10
7,1,0.09,"88,178",8
7,2,0.1,"104,229",10
7,3,0.13,"122,720",16
8,1,0.1,"101,632",10
8,2,0.11,"88,112",10
8,3,0.1,"104,183",10
9,1,0.08,"104,081",8
9,2,0.11,"101,598",11
9,3,0.07,"88,111",6
10,1,0.15,"107,711",16
10,2,0.13,"104,059",14
10,3,0.1,"101,602",10
11,1,0.16,"108,141",17
11,2,0.13,"107,678",14
11,3,0.09,"104,051",9
12,1,0.13,"108,537",14
12,2,0.18,"108,104",19
12,3,0.06,"107,657",6
13,1,0.15,"114,611",17
13,2,0.21,"108,496",23
13,3,0.16,"108,079",17
14,1,0.24,"119,086",29
14,2,0.25,"114,583",29
14,3,0.14,"108,470",15
15,1,0.25,"128,699",32
15,2,0.33,"119,092",39
15,3,0.3,"114,601",34
16,1,0.35,"133,670",47
16,2,0.34,"128,627",44
16,3,0.34,"119,073",40
17,1,0.42,"159,409",67
17,2,0.33,"133,533",44
17,3,0.44,"128,522",57
18,1,0.56,"147,394",83
18,2,0.58,"159,360",92
18,3,0.74,"133,486",99
19,1,0.63,"138,696",87
19,2,0.5,"147,349",74
19,3,0.59,"159,323",94
20,1,0.54,"167,639",91
20,2,0.55,"138,584",76
20,3,0.68,"147,230",100
21,1,0.67,"166,828",112
21,2,0.68,"167,497",114
21,3,0.65,"138,448",90
22,1,0.54,"167,086",90
22,2,0.61,"166,677",102
22,3,0.6,"167,341",100
23,1,0.63,"166,519",105
23,2,0.56,"166,921",93
23,3,0.67,"166,556",112
24,1,0.59,"167,712",99
24,2,0.56,"166,352",93
24,3,0.53,"166,762",88
25,1,0.62,"165,619",103
25,2,0.64,"167,510",107
25,3,0.62,"166,192",103
26,1,0.64,"164,827",105
26,2,0.61,"165,437",101
26,3,0.54,"167,332",90
27,1,0.7,"172,967",121
27,2,0.6,"164,652",99
27,3,0.65,"165,281",107
28,1,0.64,"159,071",102
28,2,0.74,"172,776",128
28,3,0.61,"164,493",100
29,1,0.64,"174,335",112
29,2,0.77,"158,884",122
29,3,0.72,"172,601",124
30,1,0.92,"157,661",145
30,2,0.78,"174,117",136
30,3,0.72,"158,728",114
31,1,0.91,"152,303",139
31,2,0.88,"157,449",139
31,3,0.86,"173,938",150
32,1,0.99,"170,482",169
32,2,0.92,"152,079",140
32,3,0.91,"157,265",143
33,1,1.2,"183,769",221
33,2,1.08,"170,243",184
33,3,1.27,"151,877",193
34,1,1.27,"188,779",240
34,2,1.21,"183,542",222
34,3,1.08,"170,028",184
35,1,1.42,"198,771",282
35,2,1.24,"188,513",234
35,3,1.15,"183,346",211
36,1,1.59,"204,004",324
36,2,1.48,"198,481",294
36,3,1.39,"188,264",262
37,1,1.69,"200,607",339
37,2,1.63,"203,847",332
37,3,1.56,"198,350",309
38,1,2.08,"205,881",428
38,2,1.83,"200,360",367
38,3,1.71,"203,624",348
39,1,2.17,"199,812",434
39,2,2.1,"205,492",432
39,3,2.15,"200,003",430
40,1,2.31,"188,906",436
40,2,2.38,"199,421",475
40,3,2.33,"205,106",478
41,1,2.65,"205,803",545
41,2,2.8,"188,413",528
41,3,2.42,"198,960",481
42,1,2.92,"176,395",515
42,2,2.65,"205,249",544
42,3,2.93,"187,947",551
43,1,3.48,"173,469",604
43,2,3.3,"175,841",580
43,3,2.99,"204,654",612
44,1,3.76,"173,098",651
44,2,3.33,"172,929",576
44,3,3.44,"175,345",603
45,1,3.94,"171,655",676
45,2,3.71,"172,455",640
45,3,3.61,"172,277",622
46,1,3.98,"177,330",706
46,2,4.15,"170,996",710
46,3,4.06,"171,841",698
47,1,4.5,"182,083",819
47,2,4.44,"176,565",784
47,3,4.27,"170,317",727
48,1,4.77,"182,454",870
48,2,4.56,"181,271",827
48,3,4.75,"175,867",835
49,1,5.3,"182,054",965
49,2,4.88,"181,604",886
49,3,5.43,"180,405",980
50,1,5.7,"173,240",987
50,2,5.3,"181,140",960
50,3,5.41,"180,710",978
51,1,5.62,"184,415",1036
51,2,5.79,"172,304",998
51,3,6.14,"180,130",1106
52,1,6.51,"181,578",1182
52,2,6.39,"183,300",1171
52,3,6.08,"171,315",1042
53,1,6.99,"184,437",1289
53,2,6.96,"180,395",1256
53,3,6.71,"182,241",1223
54,1,7.16,"185,695",1330
54,2,7.14,"183,136",1308
54,3,7.35,"179,209",1317
55,1,8.03,"182,660",1467
55,2,7.66,"184,400",1413
55,3,7.27,"181,854",1322
56,1,8.17,"179,207",1464
56,2,8.09,"181,249",1466
56,3,8.37,"183,060",1532
57,1,8.89,"176,622",1570
57,2,8.27,"177,815",1471
57,3,8.96,"179,799",1611
58,1,9.57,"173,386",1659
58,2,9.31,"175,131",1630
58,3,9.45,"176,252",1666
59,1,9.48,"166,972",1583
59,2,10.27,"171,764",1764
59,3,10.14,"173,502",1759
60,1,10.33,"157,365",1626
60,2,10.16,"165,424",1681
60,3,10.47,"170,127",1781
61,1,10.66,"162,150",1729
61,2,11.02,"155,730",1716
61,3,10.73,"163,813",1758
62,1,12.07,"157,625",1903
62,2,11.5,"160,440",1845
62,3,11.63,"154,137",1793
63,1,13.11,"147,135",1929
63,2,12.69,"155,859",1978
63,3,12.66,"158,548",2007
64,1,13.54,"140,638",1904
64,2,13.93,"145,268",2024
64,3,13.64,"154,053",2101
65,1,15.27,"136,459",2084
65,2,13.96,"138,964",1940
65,3,14.07,"143,434",2018
66,1,15.9,"136,578",2172
66,2,15.29,"134,583",2058
66,3,15.53,"137,102",2129
67,1,16.96,"114,352",1939
67,2,16.46,"134,499",2214
67,3,17.3,"132,493",2292
68,1,19.25,"104,418",2010
68,2,17.96,"112,406",2019
68,3,17.81,"132,218",2355
69,1,20.51,"90,802",1862
69,2,20.87,"102,503",2139
69,3,19.42,"110,420",2144
70,1,22.8,"78,406",1788
70,2,22.07,"88,957",1963
70,3,22.7,"100,400",2279
71,1,24.68,"61,964",1529
71,2,23.49,"76,704",1802
71,3,22.55,"86,932",1960
72,1,28.2,"54,470",1536
72,2,25.48,"60,437",1540
72,3,26.42,"74,920",1979
73,1,29.29,"62,339",1826
73,2,30.49,"52,914",1613
73,3,26.06,"58,817",1533
74,1,33.51,"61,698",2067
74,2,32.97,"60,414",1992
74,3,33.55,"51,289",1721
75,1,36.81,"58,539",2155
75,2,37.09,"59,607",2211
75,3,35.93,"58,386",2098
76,1,40.75,"57,174",2330
76,2,39.46,"56,269",2220
76,3,36.47,"57,471",2096
77,1,45.26,"54,134",2450
77,2,43.5,"54,837",2385
77,3,40.99,"54,109",2218
78,1,51.96,"48,955",2544
78,2,47.96,"51,671",2478
78,3,45.81,"52,491",2405
79,1,54.79,"43,696",2394
79,2,53.55,"46,535",2492
79,3,51.62,"49,205",2540
80,1,63.54,"40,418",2568
80,2,61.21,"41,196",2522
80,3,57.53,"44,083",2536
81,1,68.64,"36,226",2487
81,2,68.92,"37,858",2609
81,3,63.94,"38,775",2479
82,1,78.45,"33,632",2638
82,2,75.54,"33,725",2548
82,3,75.58,"35,258",2665
83,1,84.94,"30,450",2586
83,2,84.99,"30,991",2634
83,3,81.26,"31,183",2534
84,1,89.99,"27,896",2510
84,2,91.52,"27,851",2549
84,3,95.14,"28,339",2696
85,1,102.38,"26,643",2728
85,2,102.05,"25,292",2581
85,3,101.12,"25,244",2553
86,1,114.2,"25,440",2905
86,2,110.4,"23,925",2641
86,3,110.58,"22,702",2510
87,1,122.92,"23,668",2909
87,2,125.95,"22,573",2843
87,3,123.68,"21,249",2628
88,1,139.89,"20,200",2826
88,2,139.59,"20,647",2882
88,3,133.74,"19,835",2653
89,1,154.23,"17,061",2631
89,2,148.99,"17,451",2600
89,3,152.43,"17,871",2724
90,1,167.4,"14,115",2363
90,2,158.97,"14,596",2320
90,3,165.58,"14,816",2453
91,1,181.69,"11,458",2082
91,2,175.12,"11,887",2082
91,3,177.42,"12,259",2175
92,1,193.73,"8,856",1716
92,2,189.81,"9,477",1799
92,3,190.53,"9,776",1863
93,1,224.13,"6,127",1373
93,2,207.62,"7,205",1496
93,3,205.91,"7,762",1598
94,1,228.78,"4,431",1014
94,2,226.46,"4,912",1112
94,3,230.19,"5,740",1321
95,1,241.74,"3,564",862
95,2,243.26,"3,483",847
95,3,256.92,"3,812",979
96,1,261.38,"2,619",685
96,2,252.98,"2,750",696
96,3,249.17,"2,667",665
97,1,275.38,"1,598",440
